6
指数估值      |2022-02-17|
指数名称      |指数类型 |PE       |PE%      |PB       |PB%      |股息率   |ROE      |预测PEG  |
医药100       |行业指数 |31.27    |17.92%   |5.10     |75.68%   |0.80%    |16.32%   |1.13     |
中证电子      |行业指数 |31.91    |10.91%   |4.37     |68.24%   |0.67%    |13.69%   |0.63     |
全指医药      |行业指数 |32.12    |17.72%   |4.23     |42.76%   |0.84%    |13.18%   |1.16     |
中证医疗      |行业指数 |33.05    |1.74%    |7.62     |59.96%   |0.59%    |23.07%   |1.32     |
中证1000      |宽基指数 |33.32    |13.42%   |2.80     |43.96%   |0.89%    |8.40%    |0.63     |
全指信息      |行业指数 |40.09    |17.12%   |4.15     |48.60%   |0.60%    |10.36%   |0.74     |
中概互联50    |行业指数 |41.96    |28.96%   |3.15     |1.73%    |0.21%    |7.51%    |--       |
中国互联      |行业指数 |45.04    |53.96%   |3.18     |1.32%    |0.22%    |7.05%    |--       |
创业板        |宽基指数 |53.57    |51.72%   |7.02     |75.68%   |0.42%    |13.10%   |1.50     |
中证军工      |行业指数 |61.99    |25.06%   |3.98     |67.02%   |0.35%    |6.42%    |1.65     |
指数高估      |
基本面60      |策略指数 |20.63    |80.48%   |2.78     |83.04%   |1.73%    |13.47%   |1.01     |
深证100       |宽基指数 |27.43    |81.56%   |4.06     |84.92%   |1.15%    |14.80%   |1.19     |
纳指100       |宽基指数 |28.53    |74.40%   |8.40     |88.93%   |0.61%    |29.45%   |1.42     |
全指可选      |行业指数 |30.99    |78.44%   |2.87     |72.16%   |1.59%    |9.27%    |0.83     |
MSCI印度      |宽基指数 |31.95    |96.28%   |4.31     |96.28%   |1.19%    |13.48%   |--       |
中证环保      |行业指数 |39.26    |85.58%   |4.51     |91.81%   |0.71%    |11.48%   |0.90     |
食品饮料      |行业指数 |42.36    |84.18%   |8.39     |82.90%   |1.10%    |19.82%   |2.09     |
中证白酒      |行业指数 |43.97    |80.72%   |10.95    |79.38%   |1.00%    |24.89%   |2.11     |
消费红利      |策略指数 |45.73    |97.72%   |5.08     |52.81%   |1.91%    |11.11%   |9.04     |
主要消费      |行业指数 |50.06    |97.52%   |7.41     |85.28%   |1.13%    |14.79%   |15.59    |
新能源车      |行业指数 |88.23    |95.67%   |7.87     |98.06%   |0.20%    |8.92%    |0.67     |
指数未定义    |
MSCI中国      |宽基指数 |13.94    |60.65%   |1.69     |62.45%   |1.91%    |12.13%   |0.65     |
新经济        |策略指数 |29.14    |57.12%   |3.96     |70.74%   |0.68%    |13.58%   |--       |
科技龙头      |行业指数 |30.59    |0.42%    |4.93     |5.08%    |0.61%    |16.12%   |0.61     |
5G通讯        |行业指数 |31.72    |2.50%    |3.96     |24.56%   |0.73%    |12.48%   |0.92     |
恒生科技      |行业指数 |35.28    |24.80%   |3.35     |8.97%    |0.23%    |9.49%    |--       |
科创50        |宽基指数 |45.88    |0.78%    |5.80     |2.91%    |0.36%    |12.63%   |0.79     |
指数估值      |2022-02-11|
指数名称      |指数类型 |PE       |PE%      |PB       |PB%      |股息率   |ROE      |预测PEG  |
指数低估      |
上证红利      |策略指数 |5.51     |4.28%    |0.65     |4.16%    |5.69%    |11.80%   |0.49     |
红利低波      |策略指数 |5.53     |12.75%   |0.68     |7.86%    |5.28%    |12.32%   |0.64     |
中证银行      |行业指数 |5.65     |22.01%   |0.67     |5.31%    |4.40%    |11.87%   |0.57     |
标普红利      |策略指数 |6.03     |8.88%    |0.73     |6.72%    |5.30%    |12.08%   |0.51     |
标普价值      |策略指数 |6.03     |20.00%   |0.61     |14.99%   |5.05%    |10.11%   |1.40     |
中证红利      |策略指数 |6.13     |4.32%    |0.74     |2.40%    |5.24%    |12.13%   |0.53     |
红利成长LV    |策略指数 |6.21     |6.16%    |0.71     |1.48%    |4.57%    |11.45%   |0.60     |
300红利LV     |策略指数 |7.08     |18.92%   |0.83     |5.44%    |4.11%    |11.74%   |0.62     |
300价值       |策略指数 |7.61     |21.56%   |0.92     |10.36%   |3.80%    |12.03%   |0.50     |
基本面50      |策略指数 |8.35     |27.12%   |1.00     |6.60%    |3.65%    |11.97%   |0.64     |
神奇公式      |策略指数 |8.44     |4.72%    |1.74     |14.56%   |2.89%    |20.67%   |0.15     |
国证地产      |行业指数 |9.11     |29.04%   |1.05     |5.73%    |4.13%    |11.56%   |0.91     |
香港中小      |宽基指数 |11.08    |14.04%   |1.15     |4.04%    |3.43%    |10.34%   |--       |
德国DAX       |宽基指数 |14.98    |13.73%   |1.87     |89.31%   |2.14%    |12.50%   |--       |
500低波       |策略指数 |15.72    |9.02%    |1.38     |10.39%   |1.91%    |8.75%    |0.79     |
中证500       |宽基指数 |18.85    |2.92%    |1.84     |11.68%   |1.54%    |9.75%    |0.48     |
指数正常      |
央视50        |策略指数 |9.42     |63.23%   |1.23     |18.51%   |3.05%    |13.04%   |0.93     |
中证煤炭      |行业指数 |10.07    |37.69%   |1.46     |82.26%   |4.12%    |14.52%   |--       |
国企指数      |宽基指数 |10.46    |89.48%   |1.13     |58.76%   |2.03%    |10.85%   |1.82     |
50AH优选      |宽基指数 |10.92    |82.09%   |1.35     |95.21%   |2.17%    |12.40%   |0.95     |
上证180       |宽基指数 |11.07    |58.52%   |1.32     |42.20%   |2.42%    |11.92%   |0.59     |
上证50        |宽基指数 |11.19    |78.12%   |1.42     |72.68%   |2.62%    |12.71%   |0.58     |
香港大盘      |宽基指数 |11.45    |96.76%   |1.24     |60.48%   |2.31%    |10.80%   |1.30     |
恒生指数      |宽基指数 |11.55    |76.36%   |1.18     |42.40%   |2.28%    |10.22%   |1.59     |
中证100       |宽基指数 |11.99    |73.00%   |1.51     |68.92%   |2.38%    |12.58%   |0.68     |
沪深300       |宽基指数 |13.36    |69.92%   |1.62     |62.52%   |2.03%    |12.11%   |0.69     |
东证竞争      |策略指数 |14.41    |73.84%   |2.32     |68.48%   |1.78%    |16.13%   |0.75     |
深证红利      |策略指数 |14.98    |39.48%   |2.27     |58.52%   |2.49%    |15.14%   |1.00     |
国证A指       |宽基指数 |17.03    |48.28%   |1.79     |40.80%   |1.63%    |10.51%   |0.69     |
证券公司      |行业指数 |18.43    |15.45%   |1.71     |31.00%   |1.40%    |9.26%    |0.78     |
标普质量      |策略指数 |19.21    |89.66%   |3.41     |73.91%   |2.55%    |16.94%   |2.24     |
养老产业      |行业指数 |20.71    |27.23%   |2.92     |35.02%   |1.44%    |14.09%   |1.30     |
基本面120     |策略指数 |20.85    |67.16%   |2.64     |78.44%   |1.67%    |12.66%   |0.94     |
标普500       |宽基指数 |22.93    |57.64%   |4.49     |93.50%   |1.30%    |19.58%   |1.51     |
深证成指      |宽基指数 |25.78    |53.92%   |3.09     |63.56%   |1.16%    |12.00%   |0.85     |
TMT50         |行业指数 |28.90    |15.96%   |4.36     |43.36%   |0.79%    |15.10%   |0.64     |
医药100       |行业指数 |30.20    |16.16%   |4.89     |73.44%   |0.83%    |16.19%   |1.09     |
中证传媒      |行业指数 |30.46    |15.99%   |2.32     |4.14%    |1.43%    |7.61%    |0.38     |
中证电子      |行业指数 |31.19    |10.39%   |4.27     |65.89%   |0.69%    |13.70%   |0.61     |
全指医药      |行业指数 |31.24    |16.44%   |4.07     |31.32%   |0.87%    |13.04%   |1.12     |
中证医疗      |行业指数 |31.45    |0.00%    |6.99     |55.24%   |0.63%    |22.22%   |1.26     |
中证1000      |宽基指数 |32.68    |11.49%   |2.73     |41.14%   |0.91%    |8.36%    |0.62     |
全指信息      |行业指数 |39.47    |16.36%   |4.10     |45.32%   |0.61%    |10.38%   |0.73     |
中概互联50    |行业指数 |42.34    |30.58%   |3.18     |1.96%    |0.21%    |7.51%    |--       |
中国互联      |行业指数 |45.44    |55.12%   |3.21     |1.36%    |0.22%    |7.05%    |--       |
创业板        |宽基指数 |51.58    |46.20%   |6.76     |73.28%   |0.43%    |13.10%   |1.45     |
中证军工      |行业指数 |60.70    |21.48%   |3.90     |61.60%   |0.36%    |6.42%    |1.61     |
指数高估      |
基本面60      |策略指数 |20.48    |79.92%   |2.76     |82.72%   |1.74%    |13.49%   |0.98     |
深证100       |宽基指数 |26.93    |81.20%   |3.99     |84.12%   |1.17%    |14.80%   |1.15     |
纳指100       |宽基指数 |29.91    |78.61%   |8.72     |92.00%   |0.56%    |29.16%   |1.48     |
全指可选      |行业指数 |30.79    |78.12%   |2.85     |70.76%   |1.60%    |9.27%    |0.82     |
MSCI印度      |宽基指数 |32.59    |97.12%   |4.39     |97.12%   |1.17%    |13.48%   |--       |
中证环保      |行业指数 |37.76    |83.10%   |4.30     |90.39%   |0.74%    |11.39%   |0.86     |
食品饮料      |行业指数 |41.46    |83.75%   |8.22     |82.51%   |1.13%    |19.82%   |2.05     |
中证白酒      |行业指数 |42.93    |79.16%   |10.69    |78.17%   |1.03%    |24.89%   |2.06     |
消费红利      |策略指数 |45.31    |97.24%   |5.03     |52.34%   |1.93%    |11.11%   |8.78     |
主要消费      |行业指数 |49.31    |97.36%   |7.29     |84.96%   |1.15%    |14.79%   |14.93    |
新能源车      |行业指数 |81.65    |93.49%   |7.29     |97.83%   |0.22%    |8.93%    |0.62     |
指数未定义    |
MSCI中国      |宽基指数 |13.90    |60.21%   |1.69     |61.74%   |1.92%    |12.14%   |0.65     |
新经济        |策略指数 |28.64    |54.22%   |3.89     |69.82%   |0.69%    |13.58%   |--       |
科技龙头      |行业指数 |30.29    |0.00%    |4.86     |4.40%    |0.62%    |16.05%   |0.60     |
5G通讯        |行业指数 |30.98    |0.89%    |3.87     |23.22%   |0.75%    |12.48%   |0.89     |
恒生科技      |行业指数 |35.79    |25.87%   |3.38     |8.80%    |0.23%    |9.44%    |--       |
科创50        |宽基指数 |44.82    |0.00%    |5.67     |0.39%    |0.37%    |12.66%   |0.77     |
指数估值      |2022-02-18|
指数名称      |指数类型 |PE       |PE%      |PB       |PB%      |股息率   |ROE      |预测PEG  |
指数低估      |
上证红利      |策略指数 |5.47     |4.04%    |0.65     |3.56%    |5.73%    |11.80%   |0.49     |
红利低波      |策略指数 |5.48     |11.01%   |0.68     |7.59%    |5.33%    |12.32%   |0.64     |
中证银行      |行业指数 |5.59     |20.62%   |0.66     |4.44%    |4.45%    |11.85%   |0.57     |
标普价值      |策略指数 |5.86     |16.70%   |0.59     |10.89%   |5.19%    |10.11%   |1.36     |
标普红利      |策略指数 |5.96     |6.60%    |0.72     |6.48%    |5.36%    |12.08%   |0.51     |
中证红利      |策略指数 |6.07     |3.28%    |0.74     |2.00%    |5.29%    |12.13%   |0.52     |
红利成长LV    |策略指数 |6.13     |5.96%    |0.70     |1.48%    |4.64%    |11.42%   |0.60     |
300红利LV     |策略指数 |6.97     |15.16%   |0.82     |4.40%    |4.17%    |11.72%   |0.61     |
300价值       |策略指数 |7.49     |20.44%   |0.90     |7.24%    |3.86%    |12.02%   |0.50     |
基本面50      |策略指数 |8.29     |26.16%   |0.99     |5.92%    |3.67%    |11.96%   |0.63     |
神奇公式      |策略指数 |8.48     |5.16%    |1.75     |15.96%   |2.87%    |20.68%   |0.15     |
国证地产      |行业指数 |8.99     |27.54%   |1.04     |5.41%    |4.16%    |11.57%   |0.91     |
香港中小      |宽基指数 |11.06    |13.70%   |1.14     |3.96%    |3.44%    |10.34%   |--       |
德国DAX       |宽基指数 |14.76    |13.44%   |1.86     |86.61%   |2.19%    |12.57%   |--       |
500低波       |策略指数 |15.81    |9.47%    |1.38     |11.92%   |1.90%    |8.75%    |0.81     |
证券公司      |行业指数 |17.63    |12.89%   |1.62     |17.42%   |1.47%    |9.19%    |0.75     |
中证500       |宽基指数 |19.09    |3.68%    |1.85     |12.88%   |1.53%    |9.70%    |0.48     |
指数正常      |
央视50        |策略指数 |9.42     |63.22%   |1.23     |18.52%   |3.04%    |13.04%   |0.94     |
中证煤炭      |行业指数 |10.11    |38.42%   |1.48     |82.97%   |4.07%    |14.59%   |--       |
国企指数      |宽基指数 |10.20    |87.76%   |1.11     |52.44%   |2.09%    |10.85%   |1.77     |
50AH优选      |宽基指数 |10.78    |77.11%   |1.34     |93.63%   |2.20%    |12.47%   |1.07     |
上证180       |宽基指数 |11.05    |58.32%   |1.32     |42.00%   |2.41%    |11.93%   |0.59     |
香港大盘      |宽基指数 |11.15    |94.84%   |1.20     |54.08%   |2.38%    |10.80%   |1.27     |
上证50        |宽基指数 |11.15    |77.68%   |1.42     |72.32%   |2.62%    |12.72%   |0.58     |
恒生指数      |宽基指数 |11.30    |73.12%   |1.15     |38.36%   |2.33%    |10.22%   |1.55     |
中证100       |宽基指数 |12.01    |73.32%   |1.51     |69.56%   |2.37%    |12.58%   |0.69     |
沪深300       |宽基指数 |13.42    |70.60%   |1.62     |64.28%   |2.02%    |12.11%   |0.69     |
东证竞争      |策略指数 |14.41    |73.80%   |2.32     |68.32%   |1.77%    |16.11%   |0.75     |
深证红利      |策略指数 |14.92    |38.48%   |2.26     |57.68%   |2.49%    |15.14%   |1.03     |
国证A指       |宽基指数 |17.19    |49.68%   |1.81     |42.24%   |1.61%    |10.51%   |0.70     |
标普质量      |策略指数 |18.83    |86.07%   |3.34     |69.78%   |2.50%    |16.94%   |2.20     |
养老产业      |行业指数 |20.81    |28.81%   |2.94     |36.95%   |1.43%    |14.11%   |1.33     |
基本面120     |策略指数 |21.00    |69.28%   |2.64     |78.52%   |1.66%    |12.58%   |0.97     |
标普500       |宽基指数 |22.02    |51.37%   |4.36     |91.48%   |1.35%    |19.79%   |1.45     |
深证成指      |宽基指数 |26.26    |55.16%   |3.14     |67.80%   |1.14%    |11.95%   |0.87     |
TMT50         |行业指数 |29.40    |17.44%   |4.44     |44.68%   |0.78%    |15.10%   |0.66     |
中证传媒      |行业指数 |30.52    |16.10%   |2.34     |4.81%    |1.43%    |7.68%    |0.39     |
医药100       |行业指数 |31.54    |18.88%   |5.14     |76.08%   |0.79%    |16.29%   |1.14     |
中证电子      |行业指数 |31.78    |10.72%   |4.35     |67.95%   |0.68%    |13.69%   |0.62     |
全指医药      |行业指数 |32.42    |18.28%   |4.27     |45.84%   |0.83%    |13.17%   |1.17     |
中证医疗      |行业指数 |33.20    |1.97%    |7.62     |59.87%   |0.59%    |22.95%   |1.32     |
中证1000      |宽基指数 |33.46    |13.58%   |2.81     |44.16%   |0.89%    |8.40%    |0.63     |
全指信息      |行业指数 |40.15    |17.28%   |4.16     |49.28%   |0.60%    |10.36%   |0.75     |
中概互联50    |行业指数 |40.97    |27.04%   |3.08     |1.21%    |0.22%    |7.51%    |--       |
中国互联      |行业指数 |43.98    |49.76%   |3.10     |0.92%    |0.23%    |7.05%    |--       |
创业板        |宽基指数 |53.35    |51.00%   |6.98     |75.12%   |0.42%    |13.08%   |1.49     |
中证军工      |行业指数 |61.77    |24.60%   |3.96     |65.73%   |0.35%    |6.42%    |1.64     |
指数高估      |
基本面60      |策略指数 |20.73    |80.80%   |2.79     |83.28%   |1.72%    |13.47%   |1.02     |
深证100       |宽基指数 |27.46    |81.56%   |4.06     |84.96%   |1.14%    |14.80%   |1.19     |
纳指100       |宽基指数 |28.53    |74.37%   |8.40     |88.89%   |0.59%    |29.45%   |1.42     |
全指可选      |行业指数 |31.01    |78.44%   |2.87     |72.36%   |1.59%    |9.27%    |0.83     |
MSCI印度      |宽基指数 |31.95    |96.24%   |4.31     |96.24%   |1.19%    |13.48%   |--       |
中证环保      |行业指数 |38.89    |85.06%   |4.46     |91.46%   |0.71%    |11.48%   |0.89     |
食品饮料      |行业指数 |42.62    |84.63%   |8.44     |83.26%   |1.10%    |19.81%   |2.11     |
中证白酒      |行业指数 |44.36    |81.43%   |11.04    |80.15%   |0.99%    |24.89%   |2.13     |
消费红利      |策略指数 |46.02    |98.29%   |5.11     |53.64%   |1.90%    |11.11%   |9.12     |
主要消费      |行业指数 |50.41    |97.72%   |7.46     |85.56%   |1.13%    |14.79%   |15.88    |
新能源车      |行业指数 |87.00    |95.11%   |7.76     |97.95%   |0.20%    |8.92%    |0.66     |
指数未定义    |
MSCI中国      |宽基指数 |14.01    |61.44%   |1.70     |63.25%   |1.90%    |12.13%   |0.65     |
新经济        |策略指数 |28.15    |52.10%   |3.82     |68.23%   |0.71%    |13.58%   |--       |
科技龙头      |行业指数 |30.67    |0.70%    |4.94     |5.21%    |0.61%    |16.12%   |0.61     |
5G通讯        |行业指数 |31.77    |2.79%    |3.97     |24.67%   |0.73%    |12.48%   |0.92     |
恒生科技      |行业指数 |34.04    |15.00%   |3.23     |4.21%    |0.24%    |9.49%    |--       |
科创50        |宽基指数 |45.59    |0.39%    |5.78     |2.71%    |0.36%    |12.68%   |0.79     |
指数估值      |2022-02-15|
指数名称      |指数类型 |PE       |PE%      |PB       |PB%      |股息率   |ROE      |预测PEG  |
指数低估      |
上证红利      |策略指数 |5.37     |2.84%    |0.63     |2.84%    |5.84%    |11.80%   |0.48     |
红利低波      |策略指数 |5.38     |5.69%    |0.66     |6.50%    |5.44%    |12.32%   |0.63     |
中证银行      |行业指数 |5.48     |18.98%   |0.65     |2.96%    |4.55%    |11.85%   |0.55     |
标普红利      |策略指数 |5.85     |5.56%    |0.71     |6.00%    |5.47%    |12.08%   |0.50     |
标普价值      |策略指数 |5.94     |18.37%   |0.60     |12.78%   |5.13%    |10.11%   |1.38     |
中证红利      |策略指数 |5.96     |1.48%    |0.72     |1.24%    |5.39%    |12.13%   |0.51     |
红利成长LV    |策略指数 |6.15     |5.88%    |0.70     |1.40%    |4.64%    |11.42%   |0.59     |
300红利LV     |策略指数 |6.88     |13.12%   |0.81     |3.20%    |4.23%    |11.72%   |0.60     |
300价值       |策略指数 |7.38     |18.92%   |0.89     |5.60%    |3.92%    |12.02%   |0.49     |
基本面50      |策略指数 |8.16     |22.84%   |0.98     |3.88%    |3.73%    |11.96%   |0.62     |
神奇公式      |策略指数 |8.26     |3.08%    |1.71     |11.72%   |2.94%    |20.67%   |0.14     |
国证地产      |行业指数 |8.74     |23.68%   |1.01     |3.38%    |4.30%    |11.56%   |0.83     |
香港中小      |宽基指数 |10.91    |11.31%   |1.13     |2.79%    |3.48%    |10.34%   |--       |
德国DAX       |宽基指数 |14.84    |13.41%   |1.87     |88.21%   |2.18%    |12.57%   |--       |
500低波       |策略指数 |15.68    |8.94%    |1.37     |9.97%    |1.91%    |8.75%    |0.79     |
证券公司      |行业指数 |17.69    |13.19%   |1.62     |17.69%   |1.46%    |9.18%    |0.75     |
中证500       |宽基指数 |18.84    |2.92%    |1.83     |11.08%   |1.54%    |9.71%    |0.48     |
指数正常      |
央视50        |策略指数 |9.28     |58.29%   |1.21     |14.47%   |3.08%    |13.04%   |0.92     |
中证煤炭      |行业指数 |9.75     |32.10%   |1.41     |79.47%   |4.25%    |14.52%   |--       |
国企指数      |宽基指数 |10.14    |87.44%   |1.10     |51.32%   |2.09%    |10.85%   |1.76     |
50AH优选      |宽基指数 |10.67    |72.34%   |1.33     |92.22%   |2.23%    |12.47%   |1.04     |
上证180       |宽基指数 |10.93    |55.56%   |1.30     |36.28%   |2.44%    |11.92%   |0.58     |
上证50        |宽基指数 |11.04    |75.56%   |1.40     |70.40%   |2.65%    |12.71%   |0.57     |
香港大盘      |宽基指数 |11.12    |94.72%   |1.20     |53.76%   |2.37%    |10.80%   |1.27     |
恒生指数      |宽基指数 |11.25    |72.36%   |1.15     |37.56%   |2.33%    |10.22%   |1.55     |
中证100       |宽基指数 |11.89    |71.80%   |1.50     |67.64%   |2.39%    |12.58%   |0.68     |
沪深300       |宽基指数 |13.28    |68.52%   |1.61     |61.12%   |2.04%    |12.11%   |0.68     |
东证竞争      |策略指数 |14.25    |71.88%   |2.30     |65.84%   |1.79%    |16.11%   |0.74     |
深证红利      |策略指数 |14.78    |36.16%   |2.24     |56.16%   |2.52%    |15.14%   |1.01     |
国证A指       |宽基指数 |16.98    |47.92%   |1.78     |40.52%   |1.63%    |10.51%   |0.69     |
标普质量      |策略指数 |18.60    |84.53%   |3.30     |67.68%   |2.47%    |16.94%   |2.17     |
养老产业      |行业指数 |20.73    |27.63%   |2.92     |36.00%   |1.43%    |14.11%   |1.30     |
基本面120     |策略指数 |20.82    |66.52%   |2.62     |77.72%   |1.67%    |12.59%   |0.95     |
标普500       |宽基指数 |22.38    |53.35%   |4.38     |91.80%   |1.32%    |19.59%   |1.47     |
深证成指      |宽基指数 |26.02    |54.44%   |3.11     |65.40%   |1.15%    |11.97%   |0.86     |
TMT50         |行业指数 |29.52    |17.60%   |4.46     |45.32%   |0.77%    |15.10%   |0.66     |
中证传媒      |行业指数 |30.70    |16.44%   |2.36     |5.13%    |1.42%    |7.68%    |0.39     |
医药100       |行业指数 |31.48    |18.52%   |5.10     |75.72%   |0.80%    |16.21%   |1.13     |
中证电子      |行业指数 |31.89    |10.80%   |4.37     |68.14%   |0.68%    |13.70%   |0.63     |
全指医药      |行业指数 |32.30    |18.00%   |4.23     |42.96%   |0.83%    |13.11%   |1.16     |
中证1000      |宽基指数 |32.97    |12.43%   |2.76     |42.78%   |0.90%    |8.38%    |0.62     |
中证医疗      |行业指数 |33.17    |1.69%    |7.56     |59.40%   |0.59%    |22.77%   |1.32     |
全指信息      |行业指数 |40.10    |17.12%   |4.16     |49.44%   |0.60%    |10.38%   |0.74     |
中概互联50    |行业指数 |41.13    |27.32%   |3.09     |1.27%    |0.22%    |7.51%    |--       |
中国互联      |行业指数 |44.14    |50.56%   |3.11     |0.92%    |0.23%    |7.05%    |--       |
创业板        |宽基指数 |53.16    |50.52%   |6.97     |75.04%   |0.42%    |13.10%   |1.49     |
中证军工      |行业指数 |62.32    |25.95%   |4.00     |68.50%   |0.35%    |6.42%    |1.67     |
指数高估      |
基本面60      |策略指数 |20.57    |80.24%   |2.77     |82.84%   |1.73%    |13.48%   |1.00     |
深证100       |宽基指数 |27.24    |81.28%   |4.03     |84.56%   |1.15%    |14.80%   |1.18     |
纳指100       |宽基指数 |29.02    |75.82%   |8.47     |89.74%   |0.58%    |29.17%   |1.44     |
MSCI印度      |宽基指数 |30.86    |95.44%   |4.16     |95.44%   |1.23%    |13.48%   |--       |
全指可选      |行业指数 |30.89    |78.32%   |2.86     |71.32%   |1.59%    |9.27%    |0.82     |
中证环保      |行业指数 |38.53    |84.52%   |4.43     |91.23%   |0.72%    |11.49%   |0.89     |
食品饮料      |行业指数 |42.44    |84.34%   |8.41     |83.02%   |1.10%    |19.82%   |2.10     |
中证白酒      |行业指数 |44.09    |80.99%   |10.98    |79.65%   |1.00%    |24.89%   |2.11     |
消费红利      |策略指数 |45.64    |97.57%   |5.07     |52.67%   |1.91%    |11.11%   |9.02     |
主要消费      |行业指数 |50.14    |97.60%   |7.42     |85.40%   |1.13%    |14.79%   |15.60    |
新能源车      |行业指数 |85.99    |94.99%   |7.67     |97.94%   |0.21%    |8.92%    |0.66     |
指数未定义    |
MSCI中国      |宽基指数 |13.86    |59.81%   |1.68     |61.33%   |1.92%    |12.13%   |0.64     |
新经济        |策略指数 |28.39    |53.32%   |3.85     |69.26%   |0.70%    |13.58%   |--       |
科技龙头      |行业指数 |30.59    |0.28%    |4.93     |4.81%    |0.61%    |16.11%   |0.61     |
5G通讯        |行业指数 |31.79    |2.51%    |3.97     |24.48%   |0.73%    |12.48%   |0.92     |
恒生科技      |行业指数 |34.29    |16.98%   |3.25     |4.51%    |0.24%    |9.49%    |--       |
科创50        |宽基指数 |45.78    |0.39%    |5.79     |2.53%    |0.36%    |12.65%   |0.80     |
指数估值      |2022-02-22|
指数名称      |指数类型 |PE       |PE%      |PB       |PB%      |股息率   |ROE      |预测PEG  |
指数低估      |
上证红利      |策略指数 |5.45     |3.80%    |0.64     |3.36%    |5.74%    |11.80%   |0.49     |
红利低波      |策略指数 |5.45     |9.44%    |0.67     |7.18%    |5.36%    |12.32%   |0.64     |
